Conference_ID,Title,Link,Abstract,Citation,Authors,Conference_Name,Year,Keywords,View_Count,Page_Count,Authors_Map
134698,بررسی تاثیر ارزش ویژه برند بر شهرت برند با نقش میانجی رفتار خرید مشتریان مورد مطالعه مشتریان فروشگاه های پوشاک در سیتی سنتر شهر اصفهان,https://civilica.com/doc/1910988/,هدف از انجام این پژوهش بررسی تاثیر ارزش ویژه برند بر شهرت برند با نقش میانجی رفتار خرید مشتریان مورد مطالعه مشتریان فروشگاه های پوشاک در سیتی سنتر شهر اصفهان می باشد. پژوهش حاضر از نظر هدف، در حیطه پژوهش های کاربردی است و از نظر شیوه جمع آوری اطلاعات نیز توصیفی است. همچنین تحقیق به لحاظ تحلیل داده ها از نوع کمی می باشد. مشتریان فروشگاه های پوشاک در سیتی سنتر اصفهان بعنوان جامعه آماری پژوهش حاضر انتخاب گردید. با توجه به اینکه جامعه آماری بی نهایت است، حجم نمونه با توجه به جدول مورگان ۳۸۴ نفر از مشتریان فروشگاه های پوشاک در سیتی سنتر شهر اصفهان برآورد می گردد. ابزار گردآوری اطلاعات پرسشنامه استاندارد ارزش ویژه توسط برند آکر (۱۹۹۷)، پرسشنامه استاندارد شهرت برند توسط لای و همکاران (۲۰۱۰) و پرسشنامه استاندارد رفتار خرید مشتریان توسط کیم (۲۰۰۸) می باشد. روایی از روش روایی محتوایی بر اساس صاحب نظران سازمان ها استفاده شد. پایایی تمام متغیرها به دلیل اینکه آلفای کرونباخ بیشتر از ۰/۷ است، تایید گردید. تجزیه و تحلیل داده ها در این پژوهش با استفاده از تحلیل smart pls انجام شد. نتایج نشان داد که، ارزش ویژه برند بر شهرت برند تاثیر دارد. ارزش ویژه برند بر رفتار خرید تاثیر دارد. رفتار خرید بر شهرت برند تاثیر دارد.,,رویا خدیج,,,ارزش ویژه برند،شهرت برند،رفتار خرید مشتریان,0,,"{""رویا خدیج"": ""موسسه آموزش عالی نقش جهان""}"
134698,بررسی تاثیر هوش استراتژیک بر عملکرد سازمانی آموزش و پرورش زاهدان,https://civilica.com/doc/1910985/,امروزه هوش استراتژیک به عنوان یک عامل تعیین کننده در تصمیم گیری موفق، نیازمند توصیف تهدیدها، خطرات و فرصت ها به شکلی مفید می باشد، به نحوی که از طریق آن بتوان برنامه ها و خط مشی های سازمان را توسعه بخشید. از سوی دیگر ،کار تیمی و مشارکت نیروی انسانی از فعالیت های کلیدی یا اساسی به شمار میآید. هدف اصلی پژوهش حاضر بررسی تاثیر هوش استراتژیک مدیران بر عملکرد سازمانی در آموزش و پرورش زاهدان می باشد. تحقیق از نوع کاربردی بوده و به روش همبستگی انجام شده است. جامعه آماری این تحقیق کلیه مدیران آموزش و پرورش زاهدان به تعداد ۸۶ می باشد که با استفاده از روش سرشماری تعداد ۸۶ نفر به عنوان نمونه انتخاب شده اند. از پرسشنامه استاندارد هوش استراتژیک و عملکرد سازمانی برای گردآوری اطلاعات استفاده شده است که روایی آن مورد تایید اساتید و خبرگان قرار گرفت و پایایی آنها با استفاده از آزمون آلفای کرونباخ به ترتیب برای پرسشنامه هوش استراتژیک و عملکرد سازمانی برابر ۰.۸۹ و ۰.۷۹ بدست آمده است. از آزمون های آماری ضرایب همبستگی و رگرسیون خطی، فریدمن و تی تک نمونه ای، برای تجزیه و تحلیل و آزمون فرضیه های تحقیق استفاده شده است. برای این منظور از نرم افزار آماری SPSS استفاده گردیده است. نتایج بدست آمده از آزمون فرضیه ها نشان داد که هوش استراتژیک و مولفه های آن بر عملکرد سازمانی در آموزش و پرورش زاهدان تاثیر معناداری دارد. بر اساس نتایج به دست آمده پیشنهادهایی برای جامعه آماری و مدیران سازمان ارائه شده است.,,"احمد کاظمی, یاسر هاشم زهی",,,هوش استراتژیک،عملکرد سازمانی،مدیران،کارکنان،آموزش و پرورش زاهدان,0,,"{""احمد کاظمی"": ""استادیار گروه علوم کامپیوتر، دانشگاه سیستان و بلوچستان، زاهدان، ایران"", ""یاسر هاشم زهی"": ""دانشجوی کارشناسی ارشد، گروه مدیریت، دانشگاه سیستان و بلوچستان، زاهدان، ایران""}"
134698,تاثیر فناوری های بلاک چین و قرارداد هوشمند بر صنعت بیمه,https://civilica.com/doc/1910999/,بلاک چین و قراردادهای هوشمند امکان غیرمتمرکز کردن کسب و کارهای مختلف و دگرگون سازی آنها را دارند. نرم افزارهای توزیع شده خودگردان از شفافیت و محرمانگی بیشتری نسبت به فرآیندهای سنتی کسب و کارهای مختلف برخوردار هستند. در این پژوهش، به بررسی امکان توسعه ی ارگان خودگردان توزیع شده ی بیمه پرداخته شد. قراردادهای هوشمند، نرم افزار های خودکاری هستند که امکان ثبت، نظارت و اجرای دقیق توافق بین طرفین یک پیمان را بکمک یک روند خودکار و بدون دخالت انسان را فراهم می آورند. حذف عوامل انسانی در فرآیند نظارت و اجرای قراردادها یک تحول بنیادی در شکل دهی به کسب و کارهای آینده هستند. توزیع پذیری نرم افزاری بکمک فناوری بلاک چین نیز موجب می شود تمرکز در ساختار نرم افزاری وجود نداشته باشد و لذا اندازه پذیری و امینت بیشتری حاصل شود. به منظور بررسی ارگان بیمه خودگردان مبتنی بر بلاک چین ابتدا به انتخاب بستر بلاک چین مناسبی از طریق بررسی پژوهش های پیشین پرداخته شد .بر همین اساس مشخص شد که انتخاب یک بستر بلاک چین عمومی با قابلیت اجرای قراردادهای هوشمند برای یک سامانه ی بیمه ی عمومی مناسب است.,,"ایمان ایمانی, شکوه کرمانشاهانی, حمید رضا حمیدی",,,صنعت بیمه،قرارداد هوشمند،بلاک چین,0,,"{""ایمان ایمانی"": ""گروه مهندسی کامپیوتر، دانشگاه بین المللی امام خمینی(ره)، قزوین، ایران"", ""شکوه کرمانشاهانی"": ""گروه مهندسی کامپیوتر، دانشگاه بین المللی امام خمینی(ره)، قزوین، ایران"", ""حمید رضا حمیدی"": ""گروه مهندسی کامپیوتر، دانشگاه بین المللی امام خمینی(ره)، قزوین، ایران""}"
134698,تاثیر هوش مصنوعی(AI) در مدیریت دانش:مطالعه موردی ربات نرم افزاری چت جی پی تی,https://civilica.com/doc/1910986/,مدیریت دانش مجموعه ای از فرآیندهاست که داده ها و اطلاعات سازمان را به دانش ارزشمند تبدیل می کند. برای اجرای موفقیت آمیز مدیریت دانش در سازمان ها، عوامل موثر بسیاری وجود دارد که هوش مصنوعی یکی از این عوامل است. پژوهش حاضر به منظور شناسایی مولفه های هوش مصنوعی در پیاده سازی مدیریت دانش انجام شده است. پژوهش حاضر از نظر هدف کاربردی و از نظر روش گردآوری اطلاعات جزء تحقیقات کتابخانه ای می باشد. نتایج به دست آمده در این تحقیق حاکی از آن است که استفاده از هوش مصنوعی در اجرای مدیریت دانش می تواند نقش موثری داشته باشد و همچنین هوش مصنوعی به اشتراک گذاری و انتقال دانش با استفاده از نرم افزاری چت جی پی تی را تسهیل می کند و همچنین فرآیند بازیابی را تسریع می کند. با تمرکز بر این مولفه های شناسایی شده هوش مصنوعی و به کارگیری و تمرکز بر آنها، می توان مدیریت دانش را در سازمان ها پیش برد و با موفقیت پیاده سازی کرد.,,"زهرا وظیفه, هادی شارعی, امید صادقی",,,مدیریت دانش،نرم افزار چت جی پی تی،هوش مصنوعی,0,,"{""زهرا وظیفه"": ""دکترا رشته مدیریت، دانشگاه سیستان و بلوچستان، زاهدان، ایران"", ""هادی شارعی"": ""دانشجوی کارشناسی ارشد،گروه مدیریت،دانشگاه سیستان و بلوچستان،زاهدان،ایران"", ""امید صادقی"": ""دانشجوی کارشناسی ارشد،گروه مدیریت،دانشگاه سیستان و بلوچستان،زاهدان،ایران""}"
134698,تاثیرهوش مصنوعی بر عملکرد سازمانی با نقش میانجی فعالیت های بازاریابی,https://civilica.com/doc/1911003/,هوش مصنوعی در چند سال گذشته در چندین زمینه شتاب گرفته است و تمرکز زیادی روی ظرفیت های بازاریابی گذاشته است. اخیرا، شناخت و درک نیازهای مشتریان و انتظارات آنها از نظر محصولات و خدمات برای شرکت ها بسیار مهم شده است. با کمک هوش مصنوعی، بازاریابان می توانند حجم عظیمی از داده ها را پردازش کنند، فروش های فردی را انجام دهند و انتظارات مشتری را برآورده کنند. علاوه بر این، تصوری که در مورد مشتری و نیازهای آنها در یک بازه زمانی کوتاه تر به دست می آورند به آنها کمک می کند تا عملکرد کمپین و بازگشت سرمایه را به سرعت افزایش دهند.با این وجود، درک درستی در مورد اینکه سازمان ها چگونه باید ظرفیت هوش مصنوعی خود را برای بازاریابی ساختاردهی کنند، وجود ندارد.در نتیجه ما در این مطالعه به بررسی تاثیر هوش مصنوعی بر قابلیت های بازاریابی و به نوبه خود بر عملکرد سازمانی می پردازیم.,,"انسیه فائق, محمود احمدی شریف",,,هوش مصنوعی،عملکرد سازمانی،بازاریابی,0,,"{""انسیه فائق"": ""دانشجوی دکتری تخصصی مدیریت بازرگانی بازاریابی دانشگاه آزاد اسلامی ، کیش، ایران"", ""محمود احمدی شریف"": ""استادیار گروه مدیریت دانشگاه آزاد اسلامی، شهرقدس، ایران""}"
134698,تحلیل محرک های زنجیره ی تامین دایره ای پایدار هوشمند,https://civilica.com/doc/1911000/,زنجیره های تامین دایره ای پایدار برای غلبه بر چالش های متعدد باید هوشمند باشند. هدف این پژوهش شناسایی محرک های زنجیره ی تامین دابره ای پایدار هوشمند در صنعت روغن خوراکی و تحلیل آن ها است. از این رو در فاز اول با بررسی ادبیات پژوهش محرک ها شناسایی شد و در فاز دوم با روش دیمتل ارتباط محرک ها بررسی شد. جامعه آماری این پژوهش خبرگان حوزه صنعت روغن است که ۱۲ نفر به عنوان نمونه انتخاب شد. نتایج نشان داد که محرک شایستگی سازمانی با ضریب ۲۵/۸ اثرگذارترین محرک و پایداری اقتصادی با ضریب ۵۷/۸ اثرپذیرترین محرک است.,,"احسان بخشی خورده بلاغ, سلیم سلیم, حمید شریفی اصفهانی",,,زنجیره تامین،زنجیره تامین دایره ای،پایدار هوشمند,0,,"{""احسان بخشی خورده بلاغ"": ""دانشجوی کارشناسی ارشد مدیریت صنعتی، دانشکده علوم اداری و اقتصاد، دانشگاه ولی عصر (عج) رفسنجان، رفسنجان، ایران"", ""سلیم سلیم"": ""استادیار، گروه مدیریت ، دانشکده علوم اداری و اقتصاد، دانشگاه ولی عصر (عج) رفسنجان، رفسنجان، ایران"", ""حمید شریفی اصفهانی"": ""استادیار، گروه مدیریت، دانشکده علوم اداری و اقتصاد، دانشگاه ولی عصر (عج) رفسنجان، رفسنجان، ایران""}"
134698,تحلیل نقش مدیریت مالی شخصی در کیفیت زندگی کاری و فساد اداری کارکنان دانشگاه علوم پزشکی زاهدان,https://civilica.com/doc/1910984/,هدف این پژوهش تحلیل نقش مدیریت مالی شخصی در کیفیت زندگی کاری و فساد اداری کارکنان دانشگاه علوم پزشکی زاهدان می باشد. مطالعه حاضر از نوع مطالعات توصیفی – همبستگی می باشد. جامعه آماری این تحقیق شامل تمامی کارکنان دانشگاه علوم پزشکی زاهدان به تعداد ۸۰۶ نفر می باشد. که حجم نمونه با استفاده از جدول مورگان به تعداد ۲۶۱ نفر و با روش تصادفی ساده انتخاب شدند. در این تحقیق از پرسشنامه مدیریت مالی شخصی، فساد اداری و کیفیت زندگی کاری با پایایی و روایی مناسب استفاده شده است. اطلاعات جمع آوری شده با استفاده از نرم افزار ۲۴ SPSS و ضریب همبستگی اسپیرمن و رگرسیون چند متغیره تحلیل شده است. نتایج تحقیق نشان داد که بین مدیریت مالی شخصی و مولفه های آن (مدیریت پول نقد، پس انداز، خرج و استقراض و بیمه) با کیفیت زندگی کاری در بین کارکنان رابطه مستقیم و معنی داری وجود دارد و مهمترین پیش بینی کننده های کیفیت زندگی کاری در کارکنان، به ترتیب مدیریت خرج و استقراض، مدیریت پس انداز و سرمایه گذاری، مدیریت پول نقد، می باشد. بین مدیریت مالی شخصی و مولفه های آن (مدیریت پول نقد، پس انداز، خرج و استقراض) با فساد اداری در بین کارکنان رابطه معکوس و معنی داری وجود دارد. و مهمترین پیش بینی کننده های فساد اداری در کارکنان، به ترتیب مدیریت خرج و استقراض، مدیریت پول نقد و مدیریت پس انداز و سرمایه گذاری می باشد.,,ملیحه پورشهابی,,,مدیریت مالی شخصی،کیفیت زندگی کاری،فساد اداری،دانشگاه علوم پزشکی زاهدان,0,,"{""ملیحه پورشهابی"": ""گروه مدیریت، واحد زاهدان، دانشگاه آزاد اسلامی، زاهدان، ایران""}"
134698,تحلیل چالش ها و استراتراتژی های همکاری تکنولوژیک دراکوسیستم نوآوری بنگاه,https://civilica.com/doc/1910994/,تغییرات در فضای کسب و کارها و رقابتی شدن آنها در سال های اخیر موجب شده است که بسیاری از شرکت های بزرگ به دلیل سرعت عمل و انعطاف پذیری کم و شرکتهای فناور برای غلبه بر محدودیت های منابع و دسترسی به بازار به دنبال همکاری با یکدیگر باشند .یکی از ساختار های سال های اخیر برای همکاری، واحدهای همکاری استارت آپی (SCU) ها هستند که به طور خاص توسط شرکت های بزرگ برای تسهیل همکاری با استارت آپ ها و شرکت های کوچک دانش بنیان در اکوسیستم های نوآوری شرکتی (CIE) ایجاد شده اند. هدف از این مطالعه تحلیل نقش SCU ها جهت تسهیل همکاری بین شرکت های دانش بنیان کوچک و شرکت های بزرگ در پروژه های نوآوری مشترک است. به همین منظور با مرور ادبیات گذشته دو چالش های اصلی همکاری در مشارکت بین شرکت های بزرگ و شرکت های کوچک دانش بنیان، یعنی عدم تطابق دردیدگاه و تفسیر دانش و عدم تطابق در انتظارات شرکا، و چالش های فرعی آنها شناسایی شد. علاوه بر این، شش استراتژی ایجاد شبکه ها، یکپارچه سازی ارتباطات، استخراج دانش، هماهنگ سازی گفتگو، تفکر خارج از چارچوب، و افزایش چابکی شناسایی شده اند که می توانند توسط SCU برای تسهیل جریان های دانش، و همکاری بین شرکت بزرگ و شرکت کوچک دانش بنیان مورد استفاده قرار گیرند. این مقاله با مطالعه نقش SCU ها به عنوان یک کارگزار دانش در شبکه پیچیده بازیگران که CIE را تشکیل می دهند، به درک فرآیندهای نوآوری مشارکتی بین شرکت های بزرگ و شرکتهای دانش بنیان کوچک کمک می کند.,,"محمد مهدی صدری, رضا انصاری",,,همکاری نامتقارن،کارگزاردانشی،همکاری فناورانه،شرکت های بزرگ،شرکت های دانش بنیان,0,,"{""محمد مهدی صدری"": ""دانشجویی کارشناسی ارشد مدیریت تکنولوژی دانشگاه اصفهان"", ""رضا انصاری"": ""دانشیارگروه مدیریت دانشگاه اصفهان""}"
134698,تحلیلی برروش های توسعه تجارت صوتی در کسب و کارهای الکترونیکی ایران,https://civilica.com/doc/1910998/,هدف از انجام این پژوهش بررسی روش های توسعه تجارت صوتی در کسب و کارهای الکترونیکی ایران بود. بدین منظور الگوریتم ها و روش هایی که در این خصوص مورد استفاده قرار می گیرند به روش مرور سیستماتیک بررسی شدند. یافته های این مطالعه نشان داد روش هایی همانند فنون داده کاوی، کشف دانش و الگوریتم های هر یک از آن ها در تجارت صوتی ضروری هستند. در مجموع می توان بیان داشت تجزیه و تحلیل داخلی شفافیت را افزایش می دهد و بینش هایی در مورد عادات خرید و وفاداری مشتری ارائه می دهد. برخی راه حل ها حتی می توانند صدای کاربران را برای تشخیص و تجزیه و تحلیل احساسات آنها اسکن کنند. این اطلاعات درک بهتری از نیازهای مشتری را فراهم می کند و به شکل گیری پیام مناسب و ارائه یک معامله بهتر با تماس شخصی کمک می کند. امروزه کانالهای مختلف پیاده سازی برای صنعت خرده فروشی و تجارت الکترونیک باز است.,,"رحیم کریمی, درناز شیرانی",,,تجارت صوتی،سازمان های ایرانی،تجارت الکترونیکی,0,,"{""رحیم کریمی"": ""کارشناس ارشد مهندسی فناوری اطلاعات دانشگاه پیام نور مرکز تهران شمال تهران ایران"", ""درناز شیرانی"": ""دانشجوی دکترای تخصصی ریاضی دانشگاه خوراسگان اصفهان ایران""}"
134698,خودکارامدی خلاق کارکنان؛ مهم ترین شرط مزیت رقابتی شرکت های دانش بنیان,https://civilica.com/doc/1910991/,تقاضای متنوع مشتریان و پیشرفت مداوم تکنولوژی، نوآوری را برای کسب و کارهای امروزی به یک پدیده اجتناب ناپذیر تبدیل کرده است .در این شرایط، سازمان ها به طور مداوم تحت فشار قرار می گیرند تا آخرین نسخه محصولات و خدمات خود را به بازار ارائه دهند. خلاقیت جز کلیدی همه نوآوری ها است. توانایی خلاقانه، افراد و شرکت ها را قادر می سازد تا منابع و مزیت های سازمان را به فرصت های کارآفرینانه تبدیل کنند. از طرف دیگر؛ در شرایط کنونی اقتصاد، بقای سیستم تولید محلی شرکت های کوچک، بستگی به توانایی ان ها در دستیابی به پیشرفت تکنولوژی دارد، این امر مستلزم ورود به شبکه های نواوری است که شرکت های دانش بنیان نقش مهمی را در این زمینه ایفا می کنند. بنابراین هدف این مطالعه بررسی نقش خودکارامدی خلاق کارکنان در کسب مزیت رقابتی شرکت های دانش بنیان می باشد. این مطالعه از نظر هدف کاربردی و از لحاظ ماهیت توصیفی می باشد و در ان برای گرداوری اطلاعات مرتبط با ادبیات موضوع از روش کتابخانه ای نظیر کتب و مجلات علمی استفاده گردیده است. نتایج این مطالعه حاکی از آن است که خودکارآمدی خلاق کارکنان نقش مهمی در کسب مزیت رقابتی شرکتهای دانش بنیان ایفا می کند.,,"تندیس کریمی, هادی تیموری",,,خودکارامدی خلاق،رفتار نواورانه،تفکر خلاقانه،مزیت رقابتی،شرکتهای دانش بنیان,0,,"{""تندیس کریمی"": ""دانشجوی کارشناسی ارشد مدیریت کارافرینی؛ دانشکده علوم اداری و اقتصاد؛ دانشگاه اصفهان"", ""هادی تیموری"": ""دانشیار گروه مدیریت؛ دانشکده علوم اداری و اقتصاد؛ دانشگاه اصفهان""}"
