id,keywords
168279,"هوش مصنوعی, یادگیری عمیق, یادگیری ماشین, انرژی تجدیدپذیر, انرژی خورشیدی, فناوری اطلاعات, رایانش ابری, شبکه هوشمند, فناوری نوین, بهینه سازی"
168235,"توسعه پایدار, مدیریت شهری, شهرداری, هوش مصنوعی, پایداری, معماری, اقلیم, شهر هوشمند, معماری بومی, فضای سبز"
168207,"دانش آموزان, آموزش ابتدایی, فناوری آموزشی, هوش مصنوعی, یادگیری, پیشرفت تحصیلی, دانش آموزان ابتدایی, فقه امامیه, حقوق ایران, معلم"
168280,"دانش آموزان, یادگیری, پیشرفت تحصیلی, آموزش, دانش آموزان ابتدایی, سلامت روان, معلم, خلاقیت, هوش هیجانی, دانش آموز"
168684,"جریان آشفته, انتقال حرارت, ارزیابی ریسک, روان شناسی, آسیب های اجتماعی, پیشگیری, مداخلات روان شناختی, سلامت اجتماعی, traffic police, network planning"
168647,"دانش آموزان, گنبدکاووس, معلمان, دانشجویان, پیشرفت تحصیلی, ذهن آگاهی, اضطراب, درمان شناختی رفتاری, سلامت روان, طرحواره درمانی"
168646,"هوش مصنوعی, توسعه پایدار, عدم تقارن اطلاعاتی, گزارشگری مالی, یادگیری ماشین, مدیریت ریسک, زنجیره تامین, artificial intelligence, بورس اوراق بهادار, مهندسی ارزش"
168683,"هوش مصنوعی, یادگیری عمیق, یادگیری ماشین, امنیت سایبری, لایه مرزی, بهینه سازی, برنامه نویسی, تشخیص نفوذ, داده کاوی, حریم خصوصی"
168685,"توسعه پایدار, مصرف انرژی, فناوری های نوین, پایداری, معماری, digital twin, شهرداری ایلام, artificial intelligence, sustainable architecture, معماری بومی"
159521,"آموزش و پرورش, یادگیری, وحی, فضای آموزشی, نشاط و شادابی, مدارس ابتدایی, عصر دیجیتال, اثرات عصر دیجیتال, کیفیت زندگی, شایستگی"
148547,"کرامت انسانی, ایران, مالکیت, حقوق شهروندی, مسئولیت مدنی, پیشگیری, پیشگیری از جرم, حقوق, اقدامات تامینی, حقوق اجتماعی"
159515,"دانش آموزان, معلمان, سلماس, پیشرفت تحصیلی, خلاقیت, سبک رهبری, مدیران, سبک مدیریت, رضایت شغلی, دوره ضمن خدمت"
151618,"منابع انسانی, استعاره مفهومی, هوش مصنوعی, دین اسلام, پایه گذاری, قاجار و عثمانی, مسئله مشروعیت, نقش علما, فرهنگ و ادبیات عامه, ادبیات کودکان و نوجوان"
159516,"منابع انسانی, هوش مصنوعی, محیط آموزشی, یادگیری دانش آموزان, فضا و امکانات, نوآوری, مدیریت نوآور, مدیریت سود واقعی, اعتماد بنفس مدیرعامل, اقلام تعهدی"
165335,"هوش مصنوعی, یادگیری, دانش آموزان, رضایت شغلی, حسابداری, انگیزه, مسئولیت اجتماعی, عملکرد مالی, اضطراب, دانش آموز"
151587,"دانش آموزان, آموزش و پرورش, امید به زندگی, بهزیستی روانشناختی, اضطراب, معلم, بهداشت, نوجوان, مسئولیت پذیری, عملکرد تحصیلی"
166521,"دانش آموزان, آموزش, یادگیری, دانش آموز, آموزش و پرورش, معلم, سلامت روان, پیشرفت تحصیلی, مهارت های اجتماعی, مدرسه"
149582,"ادبیات, شعر, فردوسی, شاهنامه, اسلام, علوم ریاضی, طبقهبندی علوم, مشائیان مسلمان, هندسه, حساب"
167739,"توسعه پایدار, مدیریت شهری, شهرداری, معماری, فناوری های نوین, محیط زیست, مدیریت بحران, هوش مصنوعی, توسعه شهری, کیفیت زندگی"
167737,"توسعه پایدار, مدیریت شهری, محیط زیست, تغییرات اقلیمی, نسیم شهر, ترافیک, اکوتوریسم, شهرداری, اثرات زیست محیطی, آلودگی هوا"
167734,"هوش مصنوعی, یادگیری عمیق, یادگیری ماشین, فناوری اطلاعات, مدیریت شهری, تحول دیجیتال, رایانش ابری, امنیت سایبری, تشخیص نفوذ, شهر هوشمند"
167229,"دانش آموزان, یادگیری, معلمان, آموزش, سلامت روان, دانش آموزان ابتدایی, آموزش و پرورش, هوش مصنوعی, اضطراب, فناوری آموزشی"
167736,"شهرداری, مدیریت مالی, هوش مصنوعی, مدیریت شهری, سازمانها, سرمایه فکری, شفافیت مالی, رضایت شغلی, خدمات ایمنی., سازمان آتش نشانی"
165279,"صنعت, دانشگاه آزاد اسلامی, هوش مصنوعی, انتقال فناوری, دانشگاه, کسب و کارهای نوپا, صنعت ورزش, مهندسی پزشکی, توسعه, میکروسیلیس"
161900,"خانواده, تجردگرایی, ازدواج, دانش آموزان, جوانان, تربیت, افسردگی, سبک زندگی, رضایت زناشویی, اضطراب"
172157,"mechanical properties, durability, reinforced concrete, high, strength concrete, earthquake, co2 emission, iran, compressive strength prediction, synthetic data"
166513,"بلاکچین, هوش مصنوعی, تصمیم گیری چند معیاره, یادگیری ماشین, پیش بینی, مدیریت ریسک, کلان داده, استانداردسازی, نوآوری, ابزارهای کیفی"
160658,"مسیریابی, pf, thd, یادگیری ماشین, self, اینترنت اشیا, یادگیری عمیق, بازشناسایی افراد, تعمیم پذیر به دامنه, تابع زیان"
165187,"فرمول بندی, صنعت سنگ, سنگ ساختمانی, مدلسازی, آسفالتین, صنعت سنگ ساختمانی, سنگ ماربل, انرژی تجدیدپذیر, حفاری چاه های شیبدار, انتقال خرده های حفاری"
164085,"فیلتراسیون, اقتصاد چرخشی, فیلتر, جریان دوفازی, غشای پلیمری, کوره زباله سوز, مشعل, احتراق, بهینه سازی, افزایش راندمان"
167744,"فناوری آموزشی, مهارت های اجتماعی, دانش آموزان, تفکر انتقادی, آموزش ابتدایی, تعاملات اجتماعی, رشد شناختی, یادگیری, محیط آموزشی, دانش آموزان ابتدایی"
168710,"دانش آموزان, آموزش ابتدایی, یادگیری, دانش آموزان ابتدایی, آموزش, هوش مصنوعی, کودکان استثنایی, آموزش مجازی, تفکر انتقادی, بازی"
165273,"هوش مصنوعی, امنیت سایبری, تحول دیجیتال, آموزش, sustainability, transparency, governance, digital transformation, بازاریابی, رسانه های اجتماعی"
168709,"یادگیری, آموزش, دانش آموزان, دانش آموز, تفکر انتقادی, خلاقیت, معلمان, پایه ابتدایی, تدریس, چالش"
163165,"تحلیل عاملی تاییدی, تحلیل مضمون, سلامت روان, یادگیری, حوزه انرژی, سرمایه, تاب آوری, صنعت برق, سازمان های دولتی, هوش مصنوعی"
161915,"دانش آموزان, یادگیری, آموزش, معلمان, پیشرفت تحصیلی, هوش مصنوعی, عملکرد تحصیلی, سلامت روان, فناوری, معلم"
165333,"آموزش, هوش مصنوعی, برنامه ریزی درسی, چالش ها, تحقیقات میان رشته ای, روش کیفی, سرطان, مهارت های دیجیتال, دانش آموزان, پرستاری"
164325,"هوش مصنوعی, آموزش, دانش آموزان, پرخاشگری, تنظیم هیجان, معلم, یادگیری فعال, یادگیری مشارکتی, عدالت, فرهنگ"
168026,"زنان دارای اضافه وزن, طب سنتی کره, طب سنتی ایران, هانبانگ, اخلاط, خواب, اختلال خواب, بیماری پارکینسون, کاردرمانی, مداخلات کاردرمانی"
168025,"رضایت مشتری, رفتار مصرف کننده, هوش مصنوعی, ساختار سرمایه, نسل z, تجارت جهانی, تولید ناخالص داخلی, حسابداری مدیریت, تجارت الکترونیک, عملکرد صادراتی"
165933,"هوش مصنوعی, پردازش زبان طبیعی, امنیت سایبری, یادگیری عمیق, فناوری اطلاعات, کلان داده, سیستم های فناوری شبکه هوشمند, توان عملیاتی سیستم, زمان پاسخ, پایگاه داده های حافظه ای (in"
165932,"دانش آموزان, یادگیری, هوش مصنوعی, پیشرفت تحصیلی, پرخاشگری, بازی درمانی, آموزش, خانواده, دانشگاه ها, رفتاری"
165032,"نان, گندم, غنی سازی, نان کامل, سلامت, تغذیه, امنیت غذایی, آرد گندم, اصفهان, کیفیت"
163168,"یادگیری عمیق, فناوری بلاکچین, اینترنت اشیا, سیستم های اطلاعاتی, هرمنوتیک, رسانه های دیجیتال, تحلیل داده ها, تفسیر متون, تحلیل هرمنوتیکی, توسعه سازمانی"
163516,"هوش مصنوعی, دانش آموزان, یادگیری, آموزش, فناوری آموزشی, معلمان, آموزش و پرورش, دانش آموز, معلم, یادگیری شخصی سازی شده"
160679,"ایمنی, مدیریت بحران, استرس شغلی, پرستاران, هوش مصنوعی, فرهنگ ایمنی, حوادث شغلی, بیمارستان, ارزیابی ریسک, پرستار"
166728,"تئاتر, فمینیسم, مرد سالاری, جبر اجتماعی, لورکا, دوبووآر, زن ستیزی, عدالت و برابری, نقش اجتماعی تئاتر, برای ارضای نیازها"
166730,"هوش مصنوعی, شایستگی مدیران, بهره وری کارکنان, اخلاق کاری, وزارت ورزش و جوانان, تحلیل فوتبال, آنالیز, مدیریت, اوقات فراغت, ورزشی"
166624,"خوردگی, خواص مکانیکی, استحکام خمشی, جوشکاری اصطکاکی اغتشاشی (fsw), آلیاژ آلومینیوم aa1100, فولاد aisi a441, خوردگی مرزدانه ای, ریزساختار, الیه های بینفلزی, خزش"
166625,"dog, هوش مصنوعی, سگ, گربه, دامپزشکی, اکوسیستم, mixed terrier, echocardiography, ultrasonography, aortic thromboembolism"
166729,"توسعه شهری, معماری, تناسبات معماری, انواع تناسب, هندسه در معماری, نسبت طلایی, طراحی شهری, پارکینگ, سیستم اطلاعات جغرافیایی, مکانیابی"
162467,"هوش مصنوعی, یادگیری ماشین, artificial intelligence, machine learning, امنیت سایبری, آموزش, کسب و کار, یادگیری عمیق, دانش آموزان, data"
163146,"دانش آموزان, یادگیری, هوش مصنوعی, آموزش, معلمان, دانش آموز, مهارت های اجتماعی, مدارس, آموزش و پرورش, فناوری آموزشی"
161193,"دانش آموزان, یادگیری, آموزش, ابتدایی, معلم, آموزش و پرورش, معلمان, پیشرفت تحصیلی, خلاقیت, مدرسه"
165974,"هوش مصنوعی, real, internet of things, شخصی سازی یادگیری, پیش بینی عملکرد, خوشه بندی, دسته بندی, چالش های داده کاوی, تحول آموزشی, قراردادهای پیمانکاری"
116201,"اینترنت, پاورپوینت, اکسل, اکسس, حواله, بلاکچین, رمزارز, ریپل, ارزهای دیجیتال بانک مرکزی, مدیریت"
165926,"ناباروری, بارداری, باروری, سلامت, تغذیه, درمان, زنان, سرطان, زایمان طبیعی, استرس اکسیداتیو"
165925,"آموزش, کودکان, خانواده, کودکان با نیازهای ویژه, معلمان, self, دانش آموزان, رضایت زناشویی, برنامه درسی, مشاوره شغل ی به شیوه سازگاری شغلی دیویس"
165332,"هوش مصنوعی, شفافیت مالی, فناوری اطلاعات, معلمان, فناوری, یادگیری ماشین, مدیریت منابع انسانی, نظام آموزشی, دانش آموزان, الگوریتم ژنتیک"
165334,"دانش آموزان, یادگیری, معلم, آموزش, پیشرفت تحصیلی, دانش آموز, مدرسه, عملکرد تحصیلی, ابتدایی, تدریس"
163755,"هوش مصنوعی, حقوق ایران, حقوق بشر, ایران, پیشگیری, جرم, فضای مجازی, اسناد بین المللی, فقه, حریم خصوصی"
165886,"artificial intelligence, drug delivery, machine learning, artificial intelligence (ai), هوش مصنوعی, یادگیری ماشین, nanoparticles, hydrogels, smart systems, biocompatibility"
165814,"یادگیری, دانش آموزان, مدارس, روان شناسی, نوجوانان, حقوق بین الملل, هوش مصنوعی, آموزش, پیشگیری, حریم خصوصی"
165924,"هوش مصنوعی, کارایی سرمایه گذاری, تولید ناخالص داخلی, حسابداری, فناوری های نوین, مدیریت سود, حاکمیت شرکت, دینداری, اندازه هیئت مدیره, اندازه کمیته حسابرسی"
166272,"دانش آموزان, اضطراب, یادگیری, مدیریت, استرس, معلم, سلامت روان, mental health, روش تحقیق, کودکان"
165815,"مدیریت شهری, سازه خرپایی فضاکار, میرایی ویسکوالاستیک, تحلیل المان محدود, پاسخ فرکانسی, کنترل ارتعاش, بتن. مرطوب. محیط طبیعی. طیف. واکنش, سرمایه گذاری مازاد, اهرم مالی, نقدینگی"
165887,"یادگیری ماشین, مدیریت دانش, شهرداری یاسوج, ریسک نقدینگی, ریسک مالی, بانکداری, management accounting, economic information system, decision making, management"
162658,"رسانه, فتوژنی, هنر, ژانر, هنر اسلامی, نقاشی, سواد رسانه ای, فرهنگ سلبریتی, تفکر انتقادی, آموزش رسانه ای"
155300,"فرهنگ, گلیم, رنگ, میراث فرهنگی, توسعه پایدار, نماد, هویت فرهنگی, علوانیه, مذهب, ارزش"
162657,"ورزش, physical activity, عضلانی, سالمندان, سلامت, اضافه وزن, رفتارهای انحرافی, ورزش و جوانان, تمرینات اصلاحی, هوش مصنوعی"
166594,"آینده پژوهی, یادگیری, سناریوسازی, حقوق اجتماعی, مسئولیت های شهروندی, تربیت اجتماعی, جامعه مدنی, مدرسه, شیوه های نوین تدریس, فناوری"
166593,"پیشگیری, anti, مراقبت از پوست, بیماری های مسری, آگاهی عمومی, فرهنگ, آموزش های بهداشتی, رسانه ها, رفتارهای اجتماعی, توانایی نه گفتن"
166592,"مدیریت پسماند, ایمنی, کمپوست گیاهی, ضایعات میوه, یادگیری بینایی, پردازش تصویر, ارگونومی, ایمنی کارگران, صنعت ساخت وساز, اختلالات اسکلتی"
162656,"طب سنتی, گیاهان دارویی, جوانه زنی, سرطان, medicinal plants, ناباروری, اسانس, transcriptome, germination, تنش شوری"
162818,"هوش مصنوعی, آموزش, دانش آموزان, یادگیری, اقدام پژوهی, تدریس, پیشرفت تحصیلی, چالش ها, انگیزه, عملکرد تحصیلی"
165237,"هوش مصنوعی, medical students, تعهد سازمانی, نیازسنجی آموزشی, verbal communication, تجربه مشتری, هویت حرفه ای, هوش هیجانی, کمال گرایی, ارتقای رهبری آموزشی"
155301,"تئاتر, دانش آموزان, تئاتر آموزشی, تئاتر درسی, بهداشت, دوره دوم متوسطه, تئاتر نمایشی, بهداشت فردی, طراحی هدف مند, تئاتر موضوعی"
165275,"هوش مصنوعی, یادگیری عمیق, یادگیری ماشین, اینترنت اشیا, artificial intelligence, internet of things, پردازش تصویر, امنیت سایبری, یادگیری تقویتی, effluent monitoring"
161485,"صنایع غذایی, پروبیوتیک, امنیت غذایی, تجزیه پذیری, استویا, شکر, منابع طبیعی, عملکرد, هوش مصنوعی, تغذیه"
161192,"درمان, پروبیوتیک, سرطان, بیوفیلم, پیشگیری, میکروبیوم, هوش مصنوعی, میکروارگانیسم ها, پلی ساکاریدها, منابع آبی"
162645,"معماری, بتن, هوش مصنوعی, تزیینات, میکروسیلیس, یادگیری ماشین, توسعه پایدار, محیط زیست, حمل و نقل عمومی, عناصر"
162649,"هوش مصنوعی, رشد اقتصادی, عملکرد مالی, شهرداری مشهد, تجربه مشتری, اشتیاق شغلی, سرمایه فکری, کارآفرینی, بازاریابی, تولید"
162466,"هوش مصنوعی, یادگیری, مقیاس پذیری, زخم پوش, رایانش ابری, artificial intelligence, machine learning, dc, tissue engineering, nanotechnology"
164081,"دانش آموزان, سلامت روان, پیشرفت تحصیلی, آموزش, اضطراب, یادگیری, خلاقیت, برنامه ریزی شهری, مدیریت شهری, شهرنشینی"
160655,"فوتبال, تمرین تناوبی شدید, سر به جلو, سالمندان, تصمیم درست, تصمیم اشتباه, فشار, ورزش, مدیریت استراتژی, ماساژ"
